0,B
477,B
1102,B
1490,B
2070,B
2465,B
3106,B
3640,B
4085,B
4533,B
5088,B
5499,B
5722,B
6163,B
6634,B
7223,B
7646,B
8126,B
8630,B
9185,B
9640,B
10139,B
10677,B
11346,B
11808,B
12344,B
12814,B
13225,B
13796,B
14387,B
14861,B
15224,B
15722,B
15958,B
16563,B
17200,B
17805,B
18244,B
18566,B
19065,B
19350,B
20112,B
20640,B
21081,B
21518,B
22269,B
22691,B
23125,B
23538,B
24075,B
24467,B
24897,B
25527,B
26015,B
26600,B
27107,B
27495,B
27744,B
28174,B
28558,B
29097,B
29508,B
30163,B
30668,B
31260,B
31705,B
32059,B
32348,B
32923,B
33549,B
33957,B
34460,B
34924,B
35375,B
36065,B
36392,B
36998,B
37526,B
38269,B
38698,B
39256,B
39904,B
40317,B
40764,B
41362,B
41894,B
42395,B
42880,B
43529,B
44127,B
44629,B
45259,B
45839,B
46214,B
46810,B
47374,B
47800,B
48272,B
48776,B
49262,B
49719,B
50225,B
50845,B
51150,B
51467,B
52080,B
52531,B
53093,B
53540,B
54108,B
54700,B
55266,B
55891,B
56365,B
56783,B
57225,B
57667,B
58120,B
58379,B
58906,B
59407,B
59837,B
60309,B
60838,B
61403,B
61918,B
62421,B
62856,B
63494,B
63857,B
64308,B
64765,B
65338,B
65702,B
66290,B
66475,B
66959,B
67373,B
68009,B
68675,B
69089,B
69553,B
69996,B
70504,B
70843,B
71400,B
71983,B
72610,B
73195,B
73627,B
74132,B
74713,B
75112,B
75757,B
76222,B
76779,B
77481,B
77980,B
78503,B
78908,B
79503,B
80103,B
80659,B
81255,B
81795,B
82153,B
82726,B
83128,B
83445,B
83739,B
84426,B
85180,B
85802,B
86296,B
86848,B
87351,B
87957,B
88485,B
88894,B
89201,B
89651,B
90185,B
90726,B
91242,B
91914,B
92513,B
92855,B
93358,B
94009,B
94432,B
94984,B
95668,B
96147,B
96514,B
97257,B
97671,B
98347,B
98813,B
99165,B
99642,B
