0,A
527,A
1072,A
1512,A
2059,A
2540,A
3135,A
3504,A
4210,A
4669,A
5165,A
5738,A
6324,A
6877,A
7392,A
8000,A
8456,A
8815,A
9415,A
9996,A
10533,A
11005,A
11396,A
11897,A
12604,A
13092,A
13643,A
13984,A
14301,A
14872,A
15129,A
15605,A
16055,A
16519,A
16919,A
17226,A
17549,A
18046,A
18522,A
19078,A
19468,A
19952,A
20524,A
21043,A
21754,A
22204,A
22661,A
23179,A
23704,A
24305,A
24636,A
25259,A
25723,A
26233,A
26884,A
27343,A
27746,A
28258,A
28794,A
29292,A
29639,A
30136,A
30700,A
31174,A
31753,A
32308,A
32751,A
33290,A
33967,A
34595,A
34933,A
35475,A
35961,A
36575,A
36873,A
37355,A
37771,A
38227,A
38651,A
39067,A
39700,A
40277,A
40682,A
41163,A
41694,A
42137,A
42811,A
43458,A
44135,A
44632,A
45082,A
45487,A
46063,A
46543,A
47074,A
47396,A
48082,A
48549,A
49079,A
49530,A
50046,A
50557,A
51075,A
51416,A
51809,A
52196,A
52667,A
53322,A
53898,A
54303,A
54811,A
55438,A
56052,A
56545,A
57118,A
57883,A
58289,A
58682,A
59231,A
59773,A
60146,A
60782,A
61542,A
61938,A
62470,A
63107,A
63640,A
64289,A
64784,A
65316,A
65875,A
66342,A
66820,A
67353,A
67905,A
68165,A
68543,A
69128,A
69529,A
69852,A
70331,A
70795,A
71216,A
71575,A
72119,A
72578,A
73217,A
73670,A
74177,A
74733,A
75141,A
75506,A
76125,A
76530,A
77161,A
77743,A
78096,A
78620,A
79072,A
79685,A
80277,A
80729,A
81361,A
81858,A
82366,A
82838,A
83348,A
83675,A
84206,A
84645,A
85326,A
86063,A
86406,A
86926,A
87410,A
87960,A
88601,A
89107,A
89439,A
89792,A
90238,A
90707,A
91244,A
91653,A
92193,A
92643,A
93120,A
93649,A
94183,A
94885,A
95500,A
96086,A
96573,A
97031,A
97367,A
97852,A
98431,A
98740,A
99143,A
99441,A
99970,A
